,variable,relative_importance,scaled_importance,percentage
0,R_3,3456.553955078125,1.0,0.2801138952773552
1,R_2,3269.45361328125,0.9458708458689035,0.2649515670656254
2,R_1,2485.108642578125,0.7189555478881442,0.20138943905021314
3,HAP,2457.2568359375,0.7108978676081338,0.1991323708400799
4,P_2,419.2723693847656,0.12129779393977064,0.03397719754901912
5,P_EMO,252.17068481445312,0.07295436093048158,0.020435530217707287
6,level_0,0.0,0.0,0.0
7,user_id,0.0,0.0,0.0
8,age,0.0,0.0,0.0
9,user_followed_by,0.0,0.0,0.0
10,user_follows,0.0,0.0,0.0
11,user_posted_photos,0.0,0.0,0.0
12,Person,0.0,0.0,0.0
13,Plant,0.0,0.0,0.0
14,Food,0.0,0.0,0.0
15,Collage,0.0,0.0,0.0
16,Animal,0.0,0.0,0.0
17,Outdoors,0.0,0.0,0.0
18,Pet,0.0,0.0,0.0
19,Book,0.0,0.0,0.0
20,Dog,0.0,0.0,0.0
21,Canine,0.0,0.0,0.0
22,Sky,0.0,0.0,0.0
23,Alcohol,0.0,0.0,0.0
24,Crowd,0.0,0.0,0.0
25,Toy,0.0,0.0,0.0
26,Cat,0.0,0.0,0.0
27,Coast,0.0,0.0,0.0
28,Tree,0.0,0.0,0.0
29,Beach,0.0,0.0,0.0
30,Sport,0.0,0.0,0.0
31,Teddy Bear,0.0,0.0,0.0
32,Sunlight,0.0,0.0,0.0
33,Light,0.0,0.0,0.0
34,Drawing,0.0,0.0,0.0
35,Sea Life,0.0,0.0,0.0
36,TV,0.0,0.0,0.0
37,Dusk,0.0,0.0,0.0
38,Bikini,0.0,0.0,0.0
39,Sunrise,0.0,0.0,0.0
40,Sunset,0.0,0.0,0.0
41,Swimwear,0.0,0.0,0.0
42,Selfie,0.0,0.0,0.0
43,Beard,0.0,0.0,0.0
44,Woman,0.0,0.0,0.0
45,Cocktail,0.0,0.0,0.0
46,Pool,0.0,0.0,0.0
47,Performer,0.0,0.0,0.0
48,Coffee Cup,0.0,0.0,0.0
49,Tattoo,0.0,0.0,0.0
50,Downtown,0.0,0.0,0.0
51,Musical Instrument,0.0,0.0,0.0
52,Festival,0.0,0.0,0.0
53,City,0.0,0.0,0.0
54,Laptop,0.0,0.0,0.0
55,Pizza,0.0,0.0,0.0
56,Cloud,0.0,0.0,0.0
57,Beer Bottle,0.0,0.0,0.0
58,Money,0.0,0.0,0.0
59,Club,0.0,0.0,0.0
60,Airplane,0.0,0.0,0.0
61,Sketch,0.0,0.0,0.0
62,Sandwich,0.0,0.0,0.0
63,Cafeteria,0.0,0.0,0.0
64,Breakfast,0.0,0.0,0.0
65,Child,0.0,0.0,0.0
66,avg_number_of_faces_over_images_with_faces,0.0,0.0,0.0
67,avg_number_of_faces_over_all_images,0.0,0.0,0.0
68,avg_likes,0.0,0.0,0.0
69,avg_comments,0.0,0.0,0.0
70,happy_flt_pct,0.0,0.0,0.0
71,depressed_flt_pct,0.0,0.0,0.0
72,happy_to_depressed_flt_ratio,0.0,0.0,0.0
73,avg_posts_early_day,0.0,0.0,0.0
74,avg_posts_late_day,0.0,0.0,0.0
75,avg_posts_early_night,0.0,0.0,0.0
76,avg_posts_late_night,0.0,0.0,0.0
77,avg_posts_day,0.0,0.0,0.0
78,avg_posts_night,0.0,0.0,0.0
79,avg_posts_whole_date,0.0,0.0,0.0
80,percentage_animals,0.0,0.0,0.0
81,ANGRY,0.0,0.0,0.0
82,CALM,0.0,0.0,0.0
83,CONFUSED,0.0,0.0,0.0
84,DISGUSTED,0.0,0.0,0.0
85,HAPPY,0.0,0.0,0.0
86,SAD,0.0,0.0,0.0
87,SURPRISED,0.0,0.0,0.0
88,ratio_male,0.0,0.0,0.0
89,ratio_female,0.0,0.0,0.0
90,index,0.0,0.0,0.0
91,gender,0.0,0.0,0.0
92,born,0.0,0.0,0.0
93,education,0.0,0.0,0.0
94,employed,0.0,0.0,0.0
95,income,0.0,0.0,0.0
96,A_2,0.0,0.0,0.0
97,N_1,0.0,0.0,0.0
98,P_1,0.0,0.0,0.0
99,E_1,0.0,0.0,0.0
100,A_1,0.0,0.0,0.0
101,H_1,0.0,0.0,0.0
102,M_1,0.0,0.0,0.0
103,M_2,0.0,0.0,0.0
104,E_2,0.0,0.0,0.0
105,LON,0.0,0.0,0.0
106,H_2,0.0,0.0,0.0
107,N_2,0.0,0.0,0.0
108,A_3,0.0,0.0,0.0
109,N_3,0.0,0.0,0.0
110,E_3,0.0,0.0,0.0
111,H_3,0.0,0.0,0.0
112,M_3,0.0,0.0,0.0
113,P_3,0.0,0.0,0.0
114,participate,0.0,0.0,0.0
115,insta_user_id,0.0,0.0,0.0
116,start_q,0.0,0.0,0.0
117,end_q,0.0,0.0,0.0
118,N_EMO,0.0,0.0,0.0
119,imagecount,0.0,0.0,0.0
