,variable,relative_importance,scaled_importance,percentage
0,R_2,416.0021057128906,1.0,0.2994511570408001
1,R_3,259.4440612792969,0.6236604519938551,0.18675584395014827
2,HAP,251.69509887695312,0.6050332328141239,0.18117790161432518
3,R_1,250.3009796142578,0.6016820015497862,0.18017437153470797
4,P_2,106.7069091796875,0.25650569483735425,0.0768109271066001
5,P_3,32.09758758544922,0.0771572719095845,0.023104834347436702
6,income,21.566280364990234,0.05184175769503073,0.015524074324805754
7,M_2,7.621400356292725,0.018320581198097912,0.005486119237430347
8,LON,6.723717212677002,0.01616269994872926,0.0048399392005502575
9,Plant,3.0087175369262695,0.007232457469825347,0.0021657677575875776
10,avg_likes,2.859940528869629,0.006874822241509169,0.0020586734746697475
11,avg_posts_late_day,2.275677442550659,0.005470350777794495,0.0016381028698296024
12,Sport,2.004668712615967,0.004818890782248866,0.0014430224203976691
13,A_2,1.9699138402938843,0.004735345838978629,0.0014180047904704886
14,A_1,1.9393731355667114,0.004661931054996139,0.0013960206484630315
15,happy_to_depressed_flt_ratio,1.8131113052368164,0.004358418576102495,0.0013051334854820085
16,N_2,1.7837716341018677,0.004287890877487436,0.0012840138845283042
17,Performer,1.5371474027633667,0.0036950471684012325,0.0011064861498980812
18,user_posted_photos,1.2993005514144897,0.003123302823642963,0.0009352766443286833
19,HAPPY,1.203547477722168,0.0028931283308282394,0.0008663506261340349
20,Food,1.1181532144546509,0.002687854698568183,0.0008048811994437932
21,Festival,0.8663158416748047,0.00208247946291095,0.0006236008846823879
22,ratio_female,0.7083700299263,0.0017028039526684295,0.000509906613840209
23,user_follows,0.6949873566627502,0.001670634227852695,0.0005002733525224531
24,happy_flt_pct,0.6878718733787537,0.0016535297873071285,0.0004951514080105478
25,N_EMO,0.6433454751968384,0.0015464957180790133,0.0004630999321374035
26,avg_comments,0.6412716507911682,0.0015415105884914687,0.00046160712931441497
27,avg_posts_early_night,0.5852149128913879,0.001406759496778321,0.0004212557589884019
28,level_0,0.5847155451774597,0.0014055590996960214,0.00042089629869319895
29,Beach,0.5135428309440613,0.001234471710339105,0.00036966398199518043
30,avg_posts_night,0.48772117495536804,0.001172400736096214,0.000351076756939497
31,depressed_flt_pct,0.47553372383117676,0.0011431041268800035,0.0003423038534123306
32,Book,0.4633888006210327,0.0011139097477089375,0.000333561562790467
33,E_3,0.44262245297431946,0.0010639908954686909,0.0003186133047289764
34,age,0.425192266702652,0.0010220916213248786,0.0003060665186074422
35,Sandwich,0.4185878038406372,0.0010062155890372612,0.00030131242236969806
36,user_id,0.36793893575668335,0.0008844641185797778,0.0002648538036697859
