,names,coefficients,standardized_coefficients,abs_standardized_coef
0,Intercept,-2.5062641230477682,6.9316626273917405,6.9316626273917405
130,A_3,0.2891069408744202,0.5668593481099842,0.5668593481099842
116,A_2,0.30415535354127915,0.5295964093672747,0.5295964093672747
120,A_1,0.2389472942631101,0.42597584038567876,0.42597584038567876
119,E_1,0.0529143608683058,0.09346169786601081,0.09346169786601081
135,M_3,0.039337914165186436,0.09164786615014928,0.09164786615014928
6,"income.$40,000 to $49,999",-0.07557677395224954,-0.07557677395224954,0.07557677395224954
47,Alcohol,-5.002769102349272,-0.06838765912546205,0.06838765912546205
33,user_followed_by,-0.00012069615215890002,-0.06685940366543215,0.06685940366543215
138,HAP,0.03545694039636498,0.06397690018727176,0.06397690018727176
136,R_3,-0.026987628374423218,-0.06051356767860484,0.06051356767860484
113,ratio_female,-0.23825939433211066,-0.0561670400546469,0.0561670400546469
126,LON,0.01690110416289256,0.04815176278231646,0.04815176278231646
36,Person,-0.16134596716407495,-0.046626212467527586,0.046626212467527586
2,"income.$100,000 to $149,999",-0.046263186042123865,-0.046263186042123865,0.046263186042123865
94,happy_flt_pct,-0.17834309436411308,-0.04522128217511326,0.04522128217511326
85,Sketch,33.049168692801175,0.04449806890606324,0.04449806890606324
35,user_posted_photos,-9.828968038149367e-05,-0.04396349342361918,0.04396349342361918
50,Cat,-3.3605243085925163,-0.04290526248405568,0.04290526248405568
55,Teddy Bear,-6.712053548344294,-0.041548265899641536,0.041548265899641536
49,Toy,0.3713669347241177,0.04122001564985892,0.04122001564985892
86,Sandwich,5.144076744155761,0.040188824981621435,0.040188824981621435
83,Club,24.79690774404912,0.039381441740862125,0.039381441740862125
76,Festival,-9.284869514807024,-0.03920482893281244,0.03920482893281244
137,P_3,0.01925444464372783,0.038944699550702816,0.038944699550702816
31,user_id,-3.613740675070583e-11,-0.03792614349327014,0.03792614349327014
139,insta_user_id,-3.602626495332827e-11,-0.037809500376498655,0.037809500376498655
133,H_3,0.01696807072483317,0.03683056361815654,0.03683056361815654
125,E_2,-0.0192360691960475,-0.03546955902730444,0.03546955902730444
54,Sport,3.3980804439150902,0.03506963760610289,0.03506963760610289
58,Drawing,12.959265184354905,0.03382800767229781,0.03382800767229781
34,user_follows,2.46330788045921e-05,0.033713152465799645,0.033713152465799645
124,M_2,0.01557985206945164,0.032519708908991,0.032519708908991
69,Cocktail,3.3037547755664147,0.03250652582818221,0.03250652582818221
30,level_0,0.0006848263565282651,0.03191805950841759,0.03191805950841759
4,"income.$20,000 to $29,999",0.031431898159790306,0.031431898159790306,0.031431898159790306
134,R_2,-0.01460680702948687,-0.03134177089206124,0.03134177089206124
41,Outdoors,1.296149354518313,0.03102639670493199,0.03102639670493199
7,"income.$50,000 to $59,999",0.030883585199920523,0.030883585199920523,0.030883585199920523
16,employed.Employed for wages,-0.03071916226714866,-0.03071916226714866,0.03071916226714866
10,"income.$80,000 to $89,999",0.030318534517254015,0.030318534517254015,0.030318534517254015
68,Woman,-5.677431936897365,-0.029875647383941464,0.029875647383941464
89,Child,7.718259254384756,0.029602472618209082,0.029602472618209082
111,SURPRISED,0.8596618540958086,0.029234254907586594,0.029234254907586594
29,participate.Yes,0.029167798485656083,0.029167798485656083,0.029167798485656083
25,education.Some high school,-0.028751566161531072,-0.028751566161531072,0.028751566161531072
28,participate.No,-0.027394601990426166,-0.027394601990426166,0.027394601990426166
65,Swimwear,-1.4303358578197907,-0.026874748097050236,0.026874748097050236
38,Food,-0.7388866720885816,-0.025747226786669908,0.025747226786669908
22,education.College graduate,0.025307199152588822,0.025307199152588822,0.025307199152588822
21,employed.Unable to work,0.025214568626227483,0.025214568626227483,0.025214568626227483
72,Coffee Cup,3.51326980085543,0.025201744602354803,0.025201744602354803
62,Bikini,-1.3334003355114523,-0.025081884129073157,0.025081884129073157
39,Collage,1.0172160952625307,0.024569024040015965,0.024569024040015965
99,avg_posts_early_night,0.102714531472967,0.023833234142728733,0.023833234142728733
100,avg_posts_late_night,-0.06526121134098768,-0.02380393366359141,0.02380393366359141
80,Cloud,-4.204192345640778,-0.023731294366419037,0.023731294366419037
109,HAPPY,0.06330867388076217,0.023654682807223503,0.023654682807223503
84,Airplane,-5.7137400292383935,-0.023605492155224474,0.023605492155224474
118,P_1,0.012979053297360075,0.023578723743542158,0.023578723743542158
67,Beard,-5.20602095483655,-0.02341591206453813,0.02341591206453813
81,Beer Bottle,-8.141046832592366,-0.022052857851632343,0.022052857851632343
20,employed.Self-employed,-0.021695949586897106,-0.021695949586897106,0.021695949586897106
40,Animal,0.7443622492777566,0.021050136300415093,0.021050136300415093
127,H_2,0.008399766660939419,0.02062957746154476,0.02062957746154476
53,Beach,-2.92728938042671,-0.02008003984380808,0.02008003984380808
96,happy_to_depressed_flt_ratio,-0.005876155326992304,-0.019979182337844945,0.019979182337844945
88,Breakfast,-8.124295362289413,-0.019975452896569157,0.019975452896569157
13,"income.Less than $10,000",-0.019899961582055366,-0.019899961582055366,0.019899961582055366
117,N_1,-0.007459092212340686,-0.019369097055728493,0.019369097055728493
48,Crowd,-2.5750758414137964,-0.019002331404913333,0.019002331404913333
143,P_EMO,0.012041408286217881,0.018869274261472356,0.018869274261472356
73,Tattoo,-9.326627288963179,-0.018804143844140416,0.018804143844140416
5,"income.$30,000 to $39,999",0.018169663313005364,0.018169663313005364,0.018169663313005364
123,R_1,-0.0076980029366505885,-0.018159984521614086,0.018159984521614086
52,Tree,1.5662636586107126,0.0172493250093677,0.0172493250093677
