,variable,relative_importance,scaled_importance,percentage
0,M_2,429.25921630859375,1.0,0.3656369791256052
1,M_3,362.90679931640625,0.8454257603068286,0.30911892107355676
2,M_1,152.26536560058594,0.35471659038561587,0.1296975025543313
3,P_EMO,59.444034576416016,0.13848050855518917,0.050633594815896896
4,E_2,51.39268493652344,0.11972412701694288,0.04377556813092525
5,LON,24.54107666015625,0.057170762392003506,0.02090374485531992
6,avg_posts_day,11.855874061584473,0.027619381509240103,0.01009866722035615
7,R_2,9.975934982299805,0.023239885372963363,0.008497361482995663
8,user_follows,8.12071704864502,0.018917979486798134,0.006917112870713037
9,R_1,7.334155559539795,0.01708561000182995,0.006247130827587329
10,income,7.3173627853393555,0.017046489643868044,0.006232826978079825
11,R_3,7.098542213439941,0.01653672639689304,0.006046438684386625
12,avg_posts_whole_date,4.833802223205566,0.011260800093644475,0.004117364928777498
13,user_followed_by,3.6992950439453125,0.008617858169143875,0.0031510076274986853
14,A_1,3.120236873626709,0.007268887318155042,0.0026577740006146315
15,N_3,2.6921825408935547,0.006271694208559867,0.002293163324417383
16,Animal,2.3657665252685547,0.005511277184944141,0.0020151267410268453
17,avg_likes,2.3431851863861084,0.005458671817314218,0.001995892273320848
18,Book,2.149980068206787,0.005008582195847764,0.001831322863792067
19,Sea Life,2.0667152404785156,0.004814608893551996,0.0017603990515096244
20,Collage,1.931937575340271,0.004500631557672612,0.001645597326904781
21,Outdoors,1.8058167695999146,0.004206821195661215,0.0015381693937031333
22,avg_posts_late_night,1.7713220119476318,0.0041264623906740565,0.001508787243001485
23,Cat,1.5871922969818115,0.003697514780534803,0.0013519481346270204
24,Person,1.4121298789978027,0.0032896902974882776,0.0012028324226324274
25,H_2,1.0579606294631958,0.002464619486941032,0.000901156023899218
26,H_1,0.9018956422805786,0.002101051318213765,0.0007682220569795517
27,depressed_flt_pct,0.6600225567817688,0.0015375850574802328,0.0005621979555657424
28,HAPPY,0.6596526503562927,0.0015367233254278449,0.0005618828744612914
29,TV,0.6061446070671082,0.0014120712707804783,0.0005163054737582285
30,N_2,0.5634909868240356,0.0013127056226532896,0.0004799737183481454
31,P_2,0.4950297772884369,0.0011532187510041969,0.00042165942038817805
32,education,0.4920978844165802,0.0011463886288764313,0.00041916207516632287
33,H_3,0.46749624609947205,0.0010890767823686976,0.00039820674474112474
34,E_3,0.45243337750434875,0.0010539864033556245,0.00038537640456241215
35,N_1,0.44383808970451355,0.0010339628663568147,0.0003780550589827576
36,employed,0.3468063771724701,0.0008079183020339662,0.0002954048073359877
37,SAD,0.3381018042564392,0.000787640175006466,0.0002879903742273272
38,N_EMO,0.3344367444515228,0.0007791020710690968,0.0002848685276962071
39,avg_number_of_faces_over_all_images,0.27823734283447266,0.0006481802422954811,0.00023699866572182257
40,Toy,0.25604110956192017,0.0005964720146575784,0.00021809222557236067
41,City,0.19683924317359924,0.00045855565983257034,0.00016766490622212963
42,Plant,0.17775046825408936,0.00041408655073885435,0.00015140535550869634
43,happy_to_depressed_flt_ratio,0.17582669854164124,0.0004096049469913762,0.00014976671545283046
44,imagecount,0.16365520656108856,0.0003812503036473819,0.00013939920931634842
45,avg_posts_early_day,0.15900850296020508,0.00037042536751475156,0.00013544121236958584
46,ratio_female,0.13732069730758667,0.0003199015701712204,0.00011696784373494283
47,CALM,0.1361483335494995,0.0003171704377609046,0.00011596924073084293
